old_url,new_key,new_url
https://njs8lijpclsnzha2.public.blob.vercel-storage.com/media/accommodation/residence-boutique-hotel/21c64917-1491-4119-8982-e263b9298208-residence-boutique-hotel-luang-prabang-pic-7.jpeg,legacy/blob/media/accommodation/residence-boutique-hotel/21c64917-1491-4119-8982-e263b9298208-residence-boutique-hotel-luang-prabang-pic-7.jpeg,https://media.seawhere.com/legacy/blob/media/accommodation/residence-boutique-hotel/21c64917-1491-4119-8982-e263b9298208-residence-boutique-hotel-luang-prabang-pic-7.jpeg
https://njs8lijpclsnzha2.public.blob.vercel-storage.com/media/accommodation/residence-boutique-hotel/29fe6a07-5fc7-4894-8694-b9443059e145-residence-boutique-hotel-luang-prabang-pic-1.jpeg,legacy/blob/media/accommodation/residence-boutique-hotel/29fe6a07-5fc7-4894-8694-b9443059e145-residence-boutique-hotel-luang-prabang-pic-1.jpeg,https://media.seawhere.com/legacy/blob/media/accommodation/residence-boutique-hotel/29fe6a07-5fc7-4894-8694-b9443059e145-residence-boutique-hotel-luang-prabang-pic-1.jpeg
https://njs8lijpclsnzha2.public.blob.vercel-storage.com/media/accommodation/eastin-grand-sathorn/75aeb01a-4b75-4996-8328-7194367e7682-canon-4212-a-a-a-a-a.jpg,legacy/blob/media/accommodation/eastin-grand-sathorn/75aeb01a-4b75-4996-8328-7194367e7682-canon-4212-a-a-a-a-a.jpg,https://media.seawhere.com/legacy/blob/media/accommodation/eastin-grand-sathorn/75aeb01a-4b75-4996-8328-7194367e7682-canon-4212-a-a-a-a-a.jpg
https://njs8lijpclsnzha2.public.blob.vercel-storage.com/media/accommodation/residence-boutique-hotel/ab5aa27b-89f0-4063-bcfa-4cfbbe8273da-residence-boutique-hotel-luang-prabang-pic-7.jpeg,legacy/blob/media/accommodation/residence-boutique-hotel/ab5aa27b-89f0-4063-bcfa-4cfbbe8273da-residence-boutique-hotel-luang-prabang-pic-7.jpeg,https://media.seawhere.com/legacy/blob/media/accommodation/residence-boutique-hotel/ab5aa27b-89f0-4063-bcfa-4cfbbe8273da-residence-boutique-hotel-luang-prabang-pic-7.jpeg
https://njs8lijpclsnzha2.public.blob.vercel-storage.com/media/accommodation/residence-boutique-hotel/9c8b84b1-2895-4208-828e-c29144dd6fa1-residence-boutique-hotel-luang-prabang-pic-1.jpeg,legacy/blob/media/accommodation/residence-boutique-hotel/9c8b84b1-2895-4208-828e-c29144dd6fa1-residence-boutique-hotel-luang-prabang-pic-1.jpeg,https://media.seawhere.com/legacy/blob/media/accommodation/residence-boutique-hotel/9c8b84b1-2895-4208-828e-c29144dd6fa1-residence-boutique-hotel-luang-prabang-pic-1.jpeg
https://njs8lijpclsnzha2.public.blob.vercel-storage.com/media/day-itineraries/755cc8f1-0b83-498c-902b-6b6162300116-kuangsi.avif,legacy/blob/media/day-itineraries/755cc8f1-0b83-498c-902b-6b6162300116-kuangsi.avif,https://media.seawhere.com/legacy/blob/media/day-itineraries/755cc8f1-0b83-498c-902b-6b6162300116-kuangsi.avif
https://njs8lijpclsnzha2.public.blob.vercel-storage.com/media/accommodation/residence-boutique-hotel/b2443cf5-e65e-4481-ab96-bae6d8d1d997-residence-boutique-hotel-luang-prabang-pic-1.jpeg,legacy/blob/media/accommodation/residence-boutique-hotel/b2443cf5-e65e-4481-ab96-bae6d8d1d997-residence-boutique-hotel-luang-prabang-pic-1.jpeg,https://media.seawhere.com/legacy/blob/media/accommodation/residence-boutique-hotel/b2443cf5-e65e-4481-ab96-bae6d8d1d997-residence-boutique-hotel-luang-prabang-pic-1.jpeg
https://njs8lijpclsnzha2.public.blob.vercel-storage.com/media/accommodation/residence-boutique-hotel/df3d3563-0993-4665-965a-bab58d6bf1ab-residence-boutique-hotel-luang-prabang-pic-7.jpeg,legacy/blob/media/accommodation/residence-boutique-hotel/df3d3563-0993-4665-965a-bab58d6bf1ab-residence-boutique-hotel-luang-prabang-pic-7.jpeg,https://media.seawhere.com/legacy/blob/media/accommodation/residence-boutique-hotel/df3d3563-0993-4665-965a-bab58d6bf1ab-residence-boutique-hotel-luang-prabang-pic-7.jpeg
https://njs8lijpclsnzha2.public.blob.vercel-storage.com/media/destinations/bangkok/43a6b59b-521d-42f0-838b-58b4f70a447a-newfile-12.avif,legacy/blob/media/destinations/bangkok/43a6b59b-521d-42f0-838b-58b4f70a447a-newfile-12.avif,https://media.seawhere.com/legacy/blob/media/destinations/bangkok/43a6b59b-521d-42f0-838b-58b4f70a447a-newfile-12.avif
https://njs8lijpclsnzha2.public.blob.vercel-storage.com/media/destinations/da-nang/18dbc2e6-2cbe-4af1-b73a-2a1f6c39c83e-danang-beach.jpg,legacy/blob/media/destinations/da-nang/18dbc2e6-2cbe-4af1-b73a-2a1f6c39c83e-danang-beach.jpg,https://media.seawhere.com/legacy/blob/media/destinations/da-nang/18dbc2e6-2cbe-4af1-b73a-2a1f6c39c83e-danang-beach.jpg
https://njs8lijpclsnzha2.public.blob.vercel-storage.com/media/destinations/da-nang/605292f4-76cc-4d30-8217-6ad6007dfde9-danang.webp,legacy/blob/media/destinations/da-nang/605292f4-76cc-4d30-8217-6ad6007dfde9-danang.webp,https://media.seawhere.com/legacy/blob/media/destinations/da-nang/605292f4-76cc-4d30-8217-6ad6007dfde9-danang.webp
https://njs8lijpclsnzha2.public.blob.vercel-storage.com/media/destinations/bangkok/d6cbe628-5141-40e6-a396-5ad97f4c2797-header_thailand_winter.avif,legacy/blob/media/destinations/bangkok/d6cbe628-5141-40e6-a396-5ad97f4c2797-header_thailand_winter.avif,https://media.seawhere.com/legacy/blob/media/destinations/bangkok/d6cbe628-5141-40e6-a396-5ad97f4c2797-header_thailand_winter.avif
